"","timestamp","id","version","session","session_type","keys_lr","level","level_type","global_trial_num","block_trial_num","trial_type","bias","ss","response_type","response_correct","response_time","ss_delay","score"
"724","190731-11-30-26.647",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",724,72,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",0.7490234375,0.759999990463257,625
"725","190731-11-30-29.224",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",725,73,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",0.8533935546875,0.759999990463257,573
"726","190731-11-30-31.679",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",726,74,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",0.7330322265625,0.759999990463257,633
"727","190731-11-30-34.321",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",727,75,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",0.92236328125,0.759999990463257,538
"728","190731-11-30-36.928",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",728,76,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",0.8880615234375,0.759999990463257,555
"729","190731-11-30-39.601",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",729,77,"SS_ORANGE","ORANGE","TRUE","RESPONSE_ORANGE","INCORRECT",0.9515380859375,0.740000009536743,-200
"730","190731-11-30-42.538",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",730,78,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.2154541015625,0.740000009536743,392
"731","190731-11-30-45.090",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",731,79,"SS_ORANGE","ORANGE","TRUE","RESPONSE_ORANGE","INCORRECT",0.833251953125,0.720000028610229,-200
"732","190731-11-30-47.608",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",732,80,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",0.7982177734375,0.720000028610229,600
"733","190731-11-30-51.330",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",733,81,"SS_ORANGE","ORANGE","TRUE","NO_RESPONSE","CORRECT",2.002685546875,0.740000009536743,920
"734","190731-11-30-54.334",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",734,82,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.2833251953125,0.740000009536743,358
